UserId,LoginCount,TotalTimeSpent,TotalSecondsSpent,ActivitiesCount,MeanLoginTime
373,0,0.0,0.0,0.0,
374,10,0 days 09:13:43,33223.0,296.0,0 days 22:19:29.500000
375,0,0.0,0.0,0.0,
376,4,0 days 02:43:21,9801.0,175.0,2 days 13:45:10.250000
377,12,8 days 01:31:22,91882.0,778.0,1 days 04:16:23.750000
378,13,10 days 19:39:23,70763.0,875.0,1 days 03:37:50.923076
379,0,0.0,0.0,0.0,
380,0,0,0.0,0.0,0
381,10,0 days 08:04:38,29078.0,226.0,1 days 08:22:25.100000
382,3,0 days 04:40:24,16824.0,159.0,4 days 13:44:21
383,13,0 days 13:53:55,50035.0,346.0,1 days 03:15:18.076923
384,0,0.0,0.0,0.0,
385,1,0 days 00:31:23,1883.0,16.0,14 days 01:32:45
386,2,0 days 01:24:13,5053.0,52.0,3 days 09:05:09.500000
387,2,0 days 01:54:42,6882.0,305.0,5 days 03:21:02
388,0,0.0,0.0,0.0,
389,0,0,0.0,0.0,0
